Category,45-60,60-...,12-18,25-34,19-24,35-44
Age,1,1,1,12,23,2
Category,f,m,No entry
Gender,22,14,4
Category,czech,slovak,bcs,polish,russian
FL,4,2,11,4,19
Category,2,3,1,4
Level,10,11,13,6
Category,cultural interest,tourism/vacation,communicate better,business/employment,academic,language requirement,understand ethnic heritage,religious,other:
Purpose,18,5,6,12,24,6,2,0,0
Category,mandarin chinese,latin/greek,uzbek,arabic,attic greek,english,turkish,polish,irish gaelic,portuguese,french,spanish,german,new testament greek,church slavonic,latin,none,hungarian,italian,farsi,ukrainian,russian,kinyarwanda,No entry
Other languages,1,1,1,1,1,1,1,1,1,1,14,14,12,1,1,6,2,1,3,1,1,7,1,40
Category,senior,sophomore,not a university student,ma,phd,junior,No entry
Academic status,12,3,4,9,7,4,1
Category,italian,spanish,english,"english, turkish",No entry
NL,1,2,35,1,1
Category,laptop,desktop,phone w,phone w/out,tablet
Devices owned,39,10,39,1,13
